application_type_raw,application_type_clean,application_track,application_has_early_merit,application_type_inconsistent_flag,remaining_cap_50_rule_pct,level,application_term,nationality,applicant_citizenship,applicant_marital_status,applicant_plan_to_reside,father_status,father_employment_sector,father_position,father_employer_name,father_annual_income_from_work_status,father_work_status_benefits_total,father_self_employed_name,father_gross_income,father_net_income,father_ever_worked,father_unemployment_date,father_second_occupation_flag,father_job_info_clean,father_job_info_category,father_income_document,father_income_document_status,father_income_document_suspicious_flag,mother_status,mother_employment_sector,mother_position,mother_employer_name,mother_annual_income_from_work_status,mother_work_status_benefits_total,mother_self_employed_name,mother_gross_income,mother_net_income,mother_ever_worked,mother_unemployment_date,mother_second_occupation_flag,mother_job_info_clean,mother_job_info_category,mother_income_document,mother_income_document_status,siblings_at_aub_count,siblings_not_at_aub_count,siblings_other_total_tuition,siblings_other_total_financial_assistance,source_of_income_type,source_of_income_work_status,source_of_income_has_record,dependents_count,investments_count,investments_total_annual_profit,financial_assistants_count,financial_assistants_total_est_annual_amount,special_family_circumstances_category,special_family_circumstances_detail,loans_count,loans_total_amount,loans_total_monthly_payment,loans_total_remaining_balance,loans_max_remaining_years,properties_count,property_types,properties_total_area,properties_total_estimated_value,properties_mortgaged_count,properties_rented_income_total,properties_planted_income_total,cars_count,car_models,cars_mortgaged_count,travel_records_clean,travel_records_category,travel_records_missing_flag,certificate_ownership_clean,certificate_ownership_status,applicant_is_employed,applicant_position,spouse_citizenship,decision,over_and_above_decision,over_and_above_percentage_awarded,has_over_and_above,submission_date,need_pct,need_comment,merit_pct,merit_hist_pct,merit_comment,consent_to_share_information,bin_status,faid_missing_documents,faid_missing_documents_count,school,school_was_missing
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon Venezuela,Single,Other,Employed,Public Sector,Oud teacher,,8000.0,,,,,,,0,retirement,retired,10562.0,parsed,0,Employed,Private Sector,Medical Controller - Consultant,Best Asssistance SAL,,,,,,,,0,,missing,31200.0,parsed,0,2,7110.0,0.0,not_applicable,,0,1,0,,0,,sickness,Grandmother suffers from Alzheimer's disease,0,,,,,2,apartment,242.0,215000.0,0,536.0,,2,"Nissan, X-trail, 2017; Toyota, Corolla S, 2007",0,,missing,1,,missing,0,,,awarded,no_o_a,,0,2025-01-14,20.0,Awarded 20% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"Lycee Adonis, Kfarshima",0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Nigeria,Nigeria,Single,AUB Dorms,,,,,,,,,,,,0,deceased,deceased,0.0,parsed,0,Self-Employed,,,,,,small open shop business,500.0,450.0,,,0,"small business in an open market, she started the business in may 2024; it invloves selling of different kind of fruits in a small scale setting",other,500.0,parsed,0,0,,,not_applicable,,0,0,0,,0,,"recent death of breadwinner, sickness",MY FATHER DIED FROM LIVER CANCER AND MY MUM IS CURRENTLY ILL WITH ARTHRITIS,0,,,,,0,,,,0,,,0,,0,,missing,1,,missing,0,,,awarded,no_o_a,,0,2024-05-26,35.0,Awarded 35% as per Committee Decision FA Fall 2024-25,,,,yes,awarded_without_sending_letter,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"International College (IC), Beirut",1
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,25.0,Undergraduate,202710,Lebanon,Lebanon,Single,Parents Home,,,,,,,,,,,,0,deceased,deceased,0.0,parsed,0,Employed,Private Sector,Arabic teacher,Ahliah School,,13200.0,,,,,,0,teacher at alahliah school,other,18000.0,parsed,0,2,27200.0,21020.0,not_applicable,,0,1,0,,1,12.0,sickness,"I have Type 1 Diabetes, which requires ongoing medical management. This includes daily insulin injections, frequent blood sugar monitoring, and maintaining a consistent and balanced diet. I also need to attend regular medical appointments and be prepared for any sudden changes in my health. Managing this condition requires careful attention and planning every day to keep my blood sugar levels stable and maintain my overall well-being.",0,,,,,0,,,,0,,,1,"kia, forte, 2015",0,missing,other,1,missing,missing,0,,,awarded,percentage,10.0,1,2025-11-17,25.0,Awarded 25% as per Committee Decision FA Fall 2026-27,25.0,,Awarded 25% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,awarded,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"Ahliah School, Wadi Abou Jamil",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Employed,Public Sector,senior site manager,,31500.0,,,,,,,0,,missing,52602.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,0,0,,,not_applicable,,0,2,0,,0,,none,,0,,,,,0,,,,0,,,0,,0,0 for student and mother. very low for father,low,0,0,zero_ownership,0,,,denied,,,0,2024-11-10,0.0,Denied as per Committee Decision FA Fall 2025-26,0.0,30.0,Lost the 30%: Student did not confirm the Early Admission,yes,denied,,0,"Greater Beirut Evangelical School, Sioufi",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202510,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,N/A,N/A,,,,,,,,0,Driver at Logistica,other,7792.0,parsed,0,Unemployed,,Teacher,Al-Hayat International School,,,,,,Yes,2017-09-01,0,NSSF,nssf,0.0,parsed,0,1,,,not_applicable,,0,0,0,,0,,bankruptcy,N/A,1,,,,,1,apartment,,,0,,,1,"N/A, N/A",0,Missing,other,1,OC: 2 apts in beirut msaitbeh + 1 apt in kobbey aley,reported_ownership,0,,,awarded,no_o_a,,0,2023-09-20,60.0,Awarded 60% as per Committee Decision FA Fall 2024-25,,,,,awarded,,0,Al-Hayat International School,0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,AUB Dorms,Self-Employed,,,,,,"Property Care Plus, Lebanon",50000.0,30000.0,,,0,,missing,,missing,0,Self-Employed,,,,,,Little Ville,25000.0,5500.0,,,0,,missing,,missing,1,0,,,not_applicable,,0,1,2,3075.0,0,,none,,0,,,,,1,apartment,200.0,250000.0,0,,,3,"Jeep, Cherokee, 2014; MG, ZS, 2023; Range Rover, SVR, 2015",0,,missing,1,,missing,0,,,,,,0,2024-10-04,0.0,"Applicant does not have FAID application, AID_NEED added only for AID_MERIT purposes",30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,incomplete,"Income Tax Statement ضريبة دخل من وزارة المالية - Mother
Form B - Self-Employed Income Statement - Father
Form B - Self-Employed Income Statement - Mother
Certificate of Ownership نفي ملكية
Recent Income Tax Statement from the Ministry of Finance - ضريبة دخل من وزارة المالية - Father (Ensure the tax booklet is for the last fiscal year)",5,"Brummana High School (BHS), Brummana",0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,Senior Credit Relationship Manager,HSBC Bank Middle East Limited,63256.0,26575.0,,,,,,0,,missing,99557.0,parsed,0,Unemployed,,Customer Relation Agent,Credit Libanais,,,,,,Yes,2023-05-31,0,NSSF,nssf,0.0,parsed,0,0,,,not_applicable,,0,3,0,,0,,none,,1,24658.0,589.0,21458.0,4.0,1,apartment,207.0,200000.0,0,,,2,"Mitsubishi, Outlander ASX, 2015; Jetour, Dashing, 2024",0,average and recent for all,average,0,2 1/2 lands in Bhersaf + 1 apt in Sen el fil,reported_ownership,0,,,denied,,,0,2024-11-21,0.0,Denied as per Committee Decision FA Fall 2025-26,,,,yes,denied,,0,"College des Saints Coeurs Sioufi, Achrafieh",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,AUB Dorms,Unemployed,,Civil Supervisor,Medtel - W.N. WLL,,,,,,Yes,2023-10-09,0,termination letter provided + nssf,nssf,0.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,2,101.0,0.0,relative,employed,1,1,0,,2,3600.0,"sickness, other","Brother Hassan Charif Yehya (Sickness): After performing 4 surgeries: Opening of abdomen for kidney dialysis and opening of urinary bladder to relieve pressure on the kidneys lasting for 8 months at the age of 14 months, plus closure of abdomen and closure of urinary bladder including the opening of his bellybutton to connect a path between it and the urinary bladder following the bladder's augmentation using a fragment of the large intestine at the age of 22 months, my brother's life got saved at the expense of losing the ability to urinate naturally. As a result, my mother, mainly, extracts the urine from the bladder using povidone-iodine prep pads, sterilized glyssogel, gauze swabs/sponges, syringes for sodium chloride solution, and Ecopore medical tape before inserting a nelaton catheter or a nasal feeding tube into his bellybutton to perform the extraction every 3 hours. In addition, his circumstances elicit necessary medications: Ketosteril, Mictonorm, Zyloric, Folic Acid 5 MG Medapharm, Apo-Nitrofurantoine, Omega 3 Salamon Oil, Triltec... documents of which will be provided. (Other) My father's actual work status and our financial situation: Out of the 4 provided options, ""Unemployed"" is the best one; however, his status isn't exactly that. For precision, after my father terminated his work in Qatar and came to Lebanon, he started asking fellow villagers of our village and nearby villages if they wanted help with waterproofing, painting and epoxy flooring, and tile marble granite work, and accordingly did verbal agreements for work. Nevertheless, the money received out of this manner of work was not sufficient to cover the necessary expenditures leading to the receiving of financial help from my uncles as mentioned in this form. Finally, my father pulls 150$ because of ""te3meem"" which happens every month or so over 27 months (correlated document will be provided).",0,,,,,2,house; land,662.0,410000.0,0,,,2,"Toyota, Carina, 1979; Suzuki, Grand Vitara - SEDAN, 2014",0,"low, average and recent for father",average,0,,missing,0,,,awarded,no_o_a,,0,2024-11-14,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,awarded,Certificate of Ownership نفي ملكية,1,"Official Secondary School Baissour, Baissour",0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,line salesman manager,neopharma lebanon,22000.0,2000.0,,,,,,0,,missing,21600.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,0,4,9181.78,1357.1,not_applicable,,0,0,0,,1,2000.0,none,,0,,,,,2,apartment; business premises,365.0,180000.0,0,,,2,"honda, accord exi, 2005; hyundai, sonata, 2016",0,very high and recent for father,very_high,0,2 apts in dekerman saida,reported_ownership,0,,,awarded,no_o_a,,0,2024-12-15,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,,0,"Makassed Islamic High School - Saida, Saida",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202710,Palestine,Palestine,Single,Parents Home,Self-Employed,,,,,,"Appolo - HM, Lebanon",100000.0,60000.0,,,0,"Sole owner, Appolo for trading sanitary products (2 workers); tax 2024: -165M lbp",other,100000.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,2,6272.0,418.0,not_applicable,,0,1,0,,0,,none,,0,,,,,0,,,,0,,,4,"Nissan, Micra, 2012; Nissan, ROGUE SV, 2017; SUZUKI, ADDRESS 125, 1998; DAYANG, 125, 2022",0,0-low,low,0,missing,missing,0,,,denied,,,0,2025-11-18,0.0,Denied as per Committee Decision FA Fall 2026-27,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,denied,Certificate of Ownership نفي ملكية,1,"Lebanese International School, Haret Hreik",0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Rented Apartment,Employed,Private Sector,National Sales Manager,Delta Trading Co.SAL,4709.0,2363.0,,,,,,0,,missing,6670.0,parsed,0,Employed,Public Sector,Teacher,,,7750.0,,,,,,0,,missing,6292.0,parsed,0,2,9600.0,0.0,not_applicable,,0,1,0,,0,,none,,0,,,,,1,house,140.0,90000.0,0,,,3,"Toyota, Prado, 2003; Toyota, Corolla, 2013; Toyota, CHR, 2023",0,,missing,1,,missing,0,,,denied,,,0,2025-05-20,0.0,Denied as per Committee Decision FA Fall 2025-26,,,,yes,denied,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"Lycee Franco Libanais Alphonse De Lamartine, Kfarkahel",0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon,Single,Rented Apartment,Self-Employed,,,,,,"NA, Lebanon",3600.0,0.0,,,0,,missing,3600.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,0,0,,,not_applicable,,0,2,0,,0,,other,NA,0,,,,,0,,,,0,,,1,"Honda, CRV LX, 2005",0,average and recent for applicant and mother. Missing for father.,average,1,"OC: 2 very small portions of lands in Tyr, 1/2 land in Nabatieh + 1/3 land in Aley",reported_ownership,0,,,awarded,no_o_a,,0,2024-07-27,20.0,Awarded 20% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام,1,"International College (IC), Beirut",1
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,United States,United States Lebanon,Single,AUB Dorms,Employed,Private Sector,professor,Al maaref university,24000.0,400.0,,,,,,0,Instructor at al maaref university,other,18000.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,0,,,not_applicable,,0,0,0,,0,,none,,0,,,,,0,,,,0,,,0,,0,missing,other,1,missing,missing,0,,,awarded,no_o_a,,0,2025-01-24,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"Stars College High School, Sour",0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon,Married,Other,Retired,"Armed Forces, 2018-03-01",,,,3216.0,,,,,,0,retired from lebanese army,retired,4700.0,parsed,0,Unemployed,,Teacher,Antonine Sisters School,,,,,,Yes,2002-09-09,0,ER Internal quality control,other,14000.0,parsed,1,0,,,not_applicable,,0,0,0,,0,,none,,0,,,,,1,apartment,193.0,150.0,0,,,2,"Mitsubishi, Outlander, 2017; Volkswagen, Golf GLS, 2002",0,missing,other,1,OC: 1 apt in roumieh metn,reported_ownership,0,,Lebanon Lebanon,awarded,no_o_a,,0,2024-06-15,10.0,Awarded 10% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام,1,"International College (IC), Beirut",1
,Unknown Undergraduate Application,graduate_regular,0,0,50.0,Undergraduate,202520,Lebanon,Lebanon,Single,Parents Home,Unemployed,,,,,,,,,No,,0,NSSF,nssf,50000.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF (Not Registered),nssf,0.0,parsed,0,0,,,other,previous employment,1,0,0,,0,,sickness,My grandma has been and is under my father's care for years now. She is under longterm medication and frequently visits hospitals and doctors.,0,,,,,1,apartment,255.0,270000.0,0,,,2,"BMW, x5, 2010; Hyundai, ACCENT, 2014",0,"high for father, low for mother, 0 for applicant",high,0,missing,missing,0,,,denied,,,0,2024-12-02,0.0,Denied as per Committee Decision FA Spring 2024-25,,,,yes,denied,Certificate of Ownership نفي ملكية,1,"International College (IC), Beirut",1
Early Merit Freshman,Early Merit Freshman,early_merit,1,0,25.0,Undergraduate,202710,United States,United States Lebanon,Single,Rented Apartment,Employed,Private Sector,Senior financing officer,Al-Manar financing and leasing company,25800.0,28620.0,,,,,,0,,missing,42420.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,1,0,,,not_applicable,,0,0,0,,0,,none,,0,,,,,0,,,,0,,,1,"Lexus, Rx 350, 2012",0,0 for all,none,0,0,zero_ownership,0,,,awarded,no_o_a,,0,2025-08-16,25.0,Awarded 25% as per Committee Decision FA Fall 2026-27,25.0,,Awarded 25% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,awarded,,0,Rawd Al Saleheen Bilingual School,0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202710,Lebanon,Lebanon,Single,Parents Home,Employed,Public Sector,Employee,,12182.0,,,,,,,0,,missing,15000.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssfs,nssf,0.0,parsed,0,1,6600.0,3960.0,not_applicable,,0,0,0,,2,4800.0,none,,1,3233.0,323.0,2583.0,8.0,0,,,,0,,,3,"Haoujue, VR-150, 2018; Yamaha, N-Max, 2022; Nissan, Juke, 2012",0,0,none,0,0,zero_ownership,0,,,awarded,no_o_a,,0,2025-11-02,35.0,Awarded 35% as per Committee Decision FA Fall 2026-27,,,,yes,awarded,,0,"Ahliah School, Wadi Abou Jamil",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,25.0,Undergraduate,202710,Lebanon,Lebanon,Single,Other,Self-Employed,,,,,,"n/a, Lebanon",27000.0,27000.0,,,0,Freelance consulting (concepts developer),other,28000.0,parsed,0,Employed,Private Sector,Teacher Tenure at Lycée Makassed Khadija Al-Kubra,Al-Makassed Philanthropist Islamic Association in Beirut,,10657.0,,,,,,0,Teacher at Makassed,other,10906.0,parsed,1,0,,,not_applicable,,0,3,0,,0,,none,,0,,,,,1,apartment,128.0,70000.0,0,,,3,"Audi, A4, 2006; Motto Guzzi, V7, 2018; Toyota, Yaris, 2016",0,"low for applicant and mother, high for father",high,0,fcsr,fcsr,0,,,denied,,,0,2025-11-19,0.0,Denied as per Committee Decision FA Fall 2026-27,25.0,,Awarded 25% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,denied,Certificate of Ownership نفي ملكية,1,Lycée Français International Elite Beyrou,0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"Ali hussein alnemer, Lebanon",40000.0,5000.0,,,0,"carpenter; tax 2023: 3,4B lbp",other,40000.0,parsed,0,Employed,Private Sector,Administrative assistant,Imam moussa sadr center for research and studies,,2000.0,,,,,,0,administrative assistant at imam mousa el sader center,other,6000.0,parsed,0,1,2483.0,0.0,not_applicable,,0,0,0,,0,,none,,0,,,,,1,apartment,90.0,40000.0,1,,,1,"Honda crv, 2002, 2010",0,missing,other,1,missing,missing,0,,,awarded,no_o_a,,0,2024-10-15,15.0,Awarded 15% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"Lycee Adonis, Kfarshima",0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Unemployed,,Manager,Bank Audi sal,,,,,,Yes,2020-12-31,0,nssf,nssf,0.0,parsed,0,Employed,Private Sector,"Manager - ESMS, MIS and Credit Support",Bank Audi sal,,5750.0,,,,,,0,Bank audi,other,33200.0,parsed,0,1,15000.0,65.0,not_applicable,,0,1,0,,0,,other,"Father unemployed, mother only breadwinner to the family. our choice for AuB is based on the fact that Karim's maternal and paternal oncles are engineers graduates from AUB knowing that we consider AUB best university in Lebanon.",0,,,,,3,apartment; business premises; land,851.0,665000.0,0,,,2,"Mitsubishi, pagero sport, 2009; Honda, civic, 2017",1,low for all,low,0,OC: 1 apt in sin el fil + 1 apt in cornet chehwan + 1/2 land in antelias +,reported_ownership,0,,,awarded,no_o_a,,0,2025-06-04,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,,0,"Grand Lycee Franco Libanais, Achrafieh",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202710,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,IT Manager,Sagesse High School,16200.0,,,,,,,0,It Manager at Sagesse high school,other,17527.0,parsed,0,Employed,Private Sector,Senior Commercial Officer,Messageries Du Moyen-Orient De la Presse et Du Livre SAL,,,,,,,,0,senior commercial officer,other,12127.0,parsed,0,1,4197.0,2025.5,not_applicable,,0,0,0,,0,,other,"I am a single mother and the sole financial provider for my two children. I have been separated from their father for seven years, and we have had no contact during this time. This being the case, I cannot ptovide you with any inforation or documents related to him. He does not contribute to our family's expenses and I am fully responsible for our household including my daughter;s university tuition. Given my limited income and the absence of any external support, I am kindly requesting financial aid to help ensure my daughter can pursue her higher education.",1,83000000.0,480000.0,51000000.0,10.0,1,apartment,137.0,80000.0,1,,,1,"Jeep, cherokee, 2012",0,"Zero for mother, applicant and father",none,0,fcsr,fcsr,0,,,awarded,no_o_a,,0,2025-11-28,20.0,Awarded 20% as per Committee Decision FA Fall 2026-27,0.0,30.0,Lost the 30%: Student did not confirm the Early Admission,yes,early_without_confirmation,Certificate of Ownership نفي ملكية,1,"Sagesse High School, Ain Saade",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202710,Lebanon,Lebanon,Single,Parents Home,Unemployed,,Owner of salon/ hairdresser,Salon Nadia and Abdelkarim,,,,,,Yes,2000-02-05,0,nssf,nssf,0.0,parsed,0,Self-Employed,,,,,,Salon Nadia and abdelkarim,24985.0,8741.0,,,0,,missing,,missing,0,0,,,not_applicable,,0,0,0,,0,,none,,0,,,,,8,apartment; business premises,618.0,305000.0,0,28.0,,2,"Nissan, XTRAIL, 2011; Kia, Sedan, 2015",0,0-VERY LOW,low,0,,missing,0,,,,,,0,2026-02-25,0.0,"Applicant does not have FAID application, AID_NEED added only for AID_MERIT purposes",30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,incomplete,Form B - Self-Employed Income Statement - Mother,1,"Lycée Franco Libanais, Verdun",0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,Teacher,Al Iman High school,403.0,7271.0,,,,,,0,School teacher,other,7674.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,0,3,16194.0,1300.0,not_applicable,,0,0,0,,1,200.0,none,,1,130000000.0,991711.0,40000000.0,3.0,1,house,130.0,50000.0,1,,,1,"nissan, Bluebird, 1997",0,0,none,0,missing,missing,0,,,awarded,no_o_a,,0,2025-01-20,20.0,Awarded 20% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,,0,"International College (IC), Beirut",1
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon,Single,Parents Home,Retired,"Armed Forces, 2021-12-01",,,,287791000.0,,,,,,0,retired from lebanese army,retired,3000.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,1,4485.0,,not_applicable,,0,0,0,,0,,sickness,Mother and father suffer from permanent diseases. Medical reports with exact cases for both father and mother are uploaded,0,,,,,0,,,,0,,,0,,0,missing,other,1,OC: 1 apt in mazboud chouf (sold) + 1/4 land in mazboud chouf,reported_ownership,0,,,awarded,no_o_a,,0,2024-06-22,20.0,Awarded 20% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام,1,"International College (IC), Beirut",1
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Unemployed,,Regular employee,Yamout Optical Canter (Yaco),,,,,,Yes,2000-03-31,0,no contact + divorced papers + tanazol from biological father,no_contact,0.0,parsed,0,Unemployed,,Regular employee,Super Bag Trading Company (Maher Abdo Tiryaki and Sons),,,,,,Yes,2021-12-31,0,nssf,nssf,0.0,parsed,1,1,2350.0,,other,self-employed,1,1,0,,1,1150.0,none,,0,,,,,1,house,99.0,75000.0,0,,,0,,0,0-low,low,0,OC: 1 apt in beirut mazra3a + 1/3 apt in bchamoun,reported_ownership,0,,,denied,,,0,2024-11-08,0.0,Denied as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,denied,"Business Registration إذاعة تجارية - Father (Document must indicate the number of shares owned by your father)
Termination letter - mother",2,"Islamic Culture School, Tarik El Jadidah",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202710,Lebanon,Lebanon Canada,Single,Parents Home,Self-Employed,,,,,,"Coach sarl, Lebanon",31318.0,24445.0,,,0,33% ownership in Coach SARL (sports shop),other,10334.0,parsed,0,Self-Employed,,,,,,Startup AUROVINO (Liban Distribution sarl),30000.0,10000.0,,,0,owner of a startup company specialized in wine distribution + jewelery Designer,other,30000.0,parsed,0,1,4850.0,,not_applicable,,0,0,2,65000.0,0,,none,,0,,,,,3,apartment; business premises; land,1490.0,510000.0,0,,,2,"MITSUBISHI, Pajero, 2007; MERCEDES, 1998, 1998",0,"High and recent for mother to Europe, zero for father, low for applicant",high,0,FCSR,fcsr,0,,,denied,,,0,2025-10-28,0.0,Denied as per Committee Decision FA Fall 2026-27,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,denied,Certificate of Ownership نفي ملكية,1,Collège Saint Joseph Antoura,0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202710,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"keytraco, Lebanon",11700.0,3000.0,,,0,,missing,31000.0,parsed,0,Employed,Public Sector,senior tax controller,,,4000.0,,,,,,0,,missing,16000.0,parsed,0,1,4430.0,0.0,not_applicable,,0,2,0,,0,,none,,0,,,,,1,apartment,170.0,270000.0,0,,,3,"cherokee, grand cherokee, 2011; renault, clio 1.2, 2015; bmw, z4, 2003",0,,missing,1,,missing,0,,,denied,,,0,2025-11-18,0.0,Denied as per Committee Decision FA Fall 2026-27,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,denied,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"College Mariste Champville, Antelias",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"Free lancer civil engineer, Lebanon",12000.0,12000.0,,,1,,missing,22000.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF (ghayr mousajjal),nssf,0.0,parsed,0,2,6.0,6.0,not_applicable,,0,0,0,,0,,other,"Since the economic crisis that began in 2019, my father’s funds have been frozen, and his university savings plan at the bank has been halted. Originally, these savings were intended to cover the expenses of my university education, ensuring that funds would be available when needed. However, due to the current restrictions, accessing or growing these funds has become impossible adding uncertainty to my future financial plans for education.",0,,,,,4,apartment; land,355.0,20290.0,0,,,2,"Cadillac, Escalade, 2010; Toyota, Rav 4, 2007",0,0 for all,none,0,0 for mother missing for father,zero_ownership,0,,,awarded,no_o_a,,0,2024-11-07,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,awarded,Certificate of Ownership نفي ملكية,1,"Lycée Franco Libanais, Verdun",0
